Resume,Similarity Score,Skills,Missing Skills
14055988.pdf,0.060768262244148226,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
14449423.pdf,0.04131262088654223,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
12202337.pdf,0.03325731800198848,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
10554236.pdf,0.03129105414541415,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
12338274.pdf,0.03016122942561745,"['sql', 'communication']","['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning']"
12802330.pdf,0.02759207495257463,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
10674770.pdf,0.022635558990568752,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
12780508.pdf,0.022192942588768947,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
13294301.pdf,0.021034792317074058,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
14126433.pdf,0.020718373429095355,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
11163645.pdf,0.01643354958061867,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
12442909.pdf,0.016212172831217724,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
13491889.pdf,0.01547899988723529,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
14224370.pdf,0.014777828033075868,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
13701259.pdf,0.013912808060074021,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
11759079.pdf,0.01385958203457784,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
14470533.pdf,0.013336109455484895,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
13072019.pdf,0.012844447695120732,['communication'],"['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
12065211.pdf,0.012550375737674783,"['sql', 'communication']","['numpy', 'scikit', 'data analysis', 'python', 'pandas', 'machine learning']"
13130984.pdf,0.010891829132698235,[],"['numpy', 'scikit', 'communication', 'data analysis', 'python', 'pandas', 'machine learning', 'sql']"
